주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.09,2024.12,2025.03,2025.06,2025.09,2025.12(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,90455,119639,144865,168736,36092,40056,38225,41471,44179,45987
영업이익,-2892,1786,7052,20756,2061,2822,4337,4715,5573,6365
당기순이익,-3521,247,6215,14115,722,3666,2842,2109,4308,4925
영업이익률,-3.20,1.49,4.87,12.30,5.71,7.04,11.35,11.37,12.61,13.84
순이익률,-3.89,0.21,4.29,8.37,2.00,9.15,7.44,5.09,9.75,10.71
ROE(지배주주),-6.47,0.47,11.39,22.46,5.33,11.39,15.90,16.15,21.68,
부채비율,208.06,229.02,239.93,,208.69,239.93,260.05,219.30,221.63,
당좌비율,37.96,40.53,45.09,,34.92,45.09,52.90,51.52,57.25,
유보율,893.01,877.76,993.74,,937.67,993.74,1015.97,1063.49,1127.13,
EPS(원),-3966,278,7001,15633,813,4129,3202,2376,4853,5444
PER(배),-29.25,463.89,41.06,36.91,57.31,41.06,28.24,40.73,35.37,105.98
BPS(원),59566,58660,64259,65166,61509,64259,65403,69646,72826,65166
PBR(배),1.95,2.20,4.47,8.85,3.00,4.47,4.27,6.15,7.07,8.85
주당배당금(원),-,,2090,4105,,2090,,1671,,
시가배당률(%),-,,0.73,,,0.73,,0.39,,
배당성향(%),-,-,29.85,,-,50.61,-,70.33,,
