주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,830621,775064,850764,,198840,155047,264119,197228,241229,
영업이익,52892,63850,80453,77840,23027,23576,10300,22930,21330,21693
당기순이익,39314,45263,50286,57518,17109,15960,6587,16991,17476,15563
영업이익률,6.37,8.24,9.46,,11.58,15.20,3.90,11.63,8.84,
순이익률,4.73,5.84,5.91,,8.60,10.29,2.49,8.62,7.24,
ROE(지배주주),8.28,8.39,8.86,9.87,7.73,8.02,8.85,9.93,9.87,
부채비율,1172.76,1120.62,1166.98,,1140.72,1144.09,1166.98,1181.00,1180.68,
당좌비율,,,,,,,,,,
유보율,2218.09,2346.93,2484.14,,2436.81,2471.33,2484.14,2546.54,2574.06,
EPS(원),10097,11349,12705,15048,4293,4052,1735,4313,4489,4164
PER(배),4.80,4.77,6.52,8.22,7.26,7.06,6.53,5.48,7.61,27.33
BPS(원),135583,149718,154949,166278,150693,153744,154949,158525,162211,
PBR(배),0.36,0.36,0.54,0.74,0.52,0.53,0.54,0.50,0.68,
주당배당금(원),2950,3060,3174,3656,791,795,804,912,920,
시가배당률(%),6.08,5.66,3.83,,1.01,0.98,0.97,1.15,0.83,
배당성향(%),27.68,25.38,23.64,,17.32,18.50,43.98,19.73,19.27,
