주요재무정보,최근 연간 실적,최근 연간 실적.1,최근 연간 실적.2,최근 연간 실적.3,최근 분기 실적,최근 분기 실적.1,최근 분기 실적.2,최근 분기 실적.3,최근 분기 실적.4,최근 분기 실적.5
주요재무정보,2022.12,2023.12,2024.12,2025.12(E),2024.06,2024.09,2024.12,2025.03,2025.06,2025.09(E)
주요재무정보,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결,IFRS연결
매출액,27389,27523,27924,29761,6962,7185,7208,6856,7488,7651
영업이익,3084,3052,2848,3158,758,805,717,670,772,870
당기순이익,883,1152,1027,1359,327,310,228,298,301,380
영업이익률,11.26,11.09,10.20,10.61,10.89,11.20,9.94,9.77,10.31,11.37
순이익률,3.23,4.19,3.68,4.57,4.70,4.31,3.16,4.35,4.01,4.97
ROE(지배주주),7.48,9.01,7.51,8.90,6.99,6.17,7.51,8.57,8.17,
부채비율,434.42,392.07,377.10,,389.48,397.78,377.10,394.08,383.42,
당좌비율,45.47,43.62,28.92,,31.54,33.75,28.92,30.79,25.09,
유보율,611.99,652.73,681.14,,654.92,672.63,681.14,673.07,689.41,
EPS(원),2577,3275,2917,3781,917,863,689,818,833,1071
PER(배),10.73,8.47,10.27,7.75,12.08,13.01,10.27,8.61,10.69,27.35
BPS(원),35333,37351,40683,44279,37495,38404,40683,40251,40902,
PBR(배),0.78,0.74,0.74,0.66,0.83,0.79,0.74,0.70,0.84,
주당배당금(원),900,1200,1200,1222,,,1200,,,
시가배당률(%),3.25,4.32,4.01,,,,4.01,,,
배당성향(%),34.93,36.64,40.81,,,,173.11,,,
